timestamp,strategy,reason,duration_s
2019-02-02 01:00:00+00:00,rolling_sarima,scheduled,0.029035329818725586
2019-02-02 02:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-02 03:00:00+00:00,rolling_sarima,scheduled,0.009337425231933594
2019-02-02 04:00:00+00:00,rolling_sarima,scheduled,0.0033082962036132812
2019-02-02 05:00:00+00:00,rolling_sarima,scheduled,0.00706791877746582
2019-02-02 06:00:00+00:00,rolling_sarima,scheduled,0.004015684127807617
2019-02-02 07:00:00+00:00,rolling_sarima,scheduled,0.002002239227294922
2019-02-02 08:00:00+00:00,rolling_sarima,scheduled,0.0020024776458740234
2019-02-02 09:00:00+00:00,rolling_sarima,scheduled,0.002002239227294922
2019-02-02 10:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-02 11:00:00+00:00,rolling_sarima,scheduled,0.0031881332397460938
2019-02-02 12:00:00+00:00,rolling_sarima,scheduled,0.0003104209899902344
2019-02-02 13:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-02 14:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-02 15:00:00+00:00,rolling_sarima,scheduled,0.008580446243286133
2019-02-02 16:00:00+00:00,rolling_sarima,scheduled,0.001155853271484375
2019-02-02 17:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-02 18:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-02 19:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-02 20:00:00+00:00,rolling_sarima,scheduled,0.007963418960571289
2019-02-02 21:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-02 22:00:00+00:00,rolling_sarima,scheduled,0.0025177001953125
2019-02-02 23:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-03 00:00:00+00:00,rolling_sarima,scheduled,1.6738793849945068
2019-02-03 01:00:00+00:00,rolling_sarima,scheduled,0.017528533935546875
2019-02-03 02:00:00+00:00,rolling_sarima,scheduled,0.002004861831665039
2019-02-03 03:00:00+00:00,rolling_sarima,scheduled,0.0020036697387695312
2019-02-03 04:00:00+00:00,rolling_sarima,scheduled,0.002433300018310547
2019-02-03 05:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-03 06:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-03 07:00:00+00:00,rolling_sarima,scheduled,0.0048389434814453125
2019-02-03 08:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-03 09:00:00+00:00,rolling_sarima,scheduled,0.004517078399658203
2019-02-03 10:00:00+00:00,rolling_sarima,scheduled,0.001251220703125
2019-02-03 11:00:00+00:00,rolling_sarima,scheduled,0.002005338668823242
2019-02-03 12:00:00+00:00,rolling_sarima,scheduled,0.003462553024291992
2019-02-03 13:00:00+00:00,rolling_sarima,scheduled,0.0040094852447509766
2019-02-03 14:00:00+00:00,rolling_sarima,scheduled,0.00413203239440918
2019-02-03 15:00:00+00:00,rolling_sarima,scheduled,0.0011174678802490234
2019-02-03 16:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-03 17:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-03 18:00:00+00:00,rolling_sarima,scheduled,0.007171630859375
2019-02-03 19:00:00+00:00,rolling_sarima,scheduled,0.0020036697387695312
2019-02-03 20:00:00+00:00,rolling_sarima,scheduled,0.002003908157348633
2019-02-03 21:00:00+00:00,rolling_sarima,scheduled,0.0020041465759277344
2019-02-03 22:00:00+00:00,rolling_sarima,scheduled,0.002003192901611328
2019-02-03 23:00:00+00:00,rolling_sarima,scheduled,0.0020034313201904297
2019-02-04 00:00:00+00:00,rolling_sarima,scheduled,1.7361979484558105
2019-02-04 01:00:00+00:00,rolling_sarima,scheduled,0.01598644256591797
2019-02-04 02:00:00+00:00,rolling_sarima,scheduled,0.0040493011474609375
2019-02-04 03:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-04 04:00:00+00:00,rolling_sarima,scheduled,0.0030126571655273438
2019-02-04 05:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-04 06:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-04 07:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-04 08:00:00+00:00,rolling_sarima,scheduled,0.00701594352722168
2019-02-04 09:00:00+00:00,rolling_sarima,scheduled,0.001440286636352539
2019-02-04 10:00:00+00:00,rolling_sarima,scheduled,0.0021681785583496094
2019-02-04 11:00:00+00:00,rolling_sarima,scheduled,0.0030820369720458984
2019-02-04 12:00:00+00:00,rolling_sarima,scheduled,0.0030574798583984375
2019-02-04 13:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-04 14:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-04 15:00:00+00:00,rolling_sarima,scheduled,0.007482290267944336
2019-02-04 16:00:00+00:00,rolling_sarima,scheduled,0.0052852630615234375
2019-02-04 17:00:00+00:00,rolling_sarima,scheduled,0.00426173210144043
2019-02-04 18:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-04 19:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-04 20:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-04 21:00:00+00:00,rolling_sarima,scheduled,0.006855964660644531
2019-02-04 22:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-04 23:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-05 00:00:00+00:00,rolling_sarima,scheduled,2.3871829509735107
2019-02-05 01:00:00+00:00,rolling_sarima,scheduled,0.017433881759643555
2019-02-05 02:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-05 03:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-05 04:00:00+00:00,rolling_sarima,scheduled,0.016614198684692383
2019-02-05 05:00:00+00:00,rolling_sarima,scheduled,0.0016405582427978516
2019-02-05 06:00:00+00:00,rolling_sarima,scheduled,0.005095958709716797
2019-02-05 07:00:00+00:00,rolling_sarima,scheduled,0.008085250854492188
2019-02-05 08:00:00+00:00,rolling_sarima,scheduled,0.002425670623779297
2019-02-05 09:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-05 10:00:00+00:00,rolling_sarima,scheduled,0.013332366943359375
2019-02-05 11:00:00+00:00,rolling_sarima,scheduled,0.0028879642486572266
2019-02-05 12:00:00+00:00,rolling_sarima,scheduled,0.001300811767578125
2019-02-05 13:00:00+00:00,rolling_sarima,scheduled,0.004094600677490234
2019-02-05 14:00:00+00:00,rolling_sarima,scheduled,0.0
2019-02-05 15:00:00+00:00,rolling_sarima,scheduled,0.0
